order_id,order_date,sales_rep_id,eligible_revenue,commission_rate,commission_paid,note
ORD10001,2007-10-01,S004,1291.5,0.065,83.95,
ORD10002,2007-10-01,S002,2603.48,0.07,182.24,
ORD10003,2007-10-02,S001,421.8,0.07,29.53,
ORD10005,2007-10-02,S005,126.0,0.06,7.56,
ORD10006,2007-10-02,S003,868.0,0.065,56.42,
ORD10007,2007-10-03,S002,385.0,0.07,26.95,
ORD10008,2007-10-03,S003,1032.08,0.065,67.09,
ORD10009,2007-10-03,S005,1442.88,0.06,86.57,
ORD10010,2007-10-03,S002,1428.0,0.07,99.96,
ORD10011,2007-10-03,S002,111.0,0.07,7.77,
ORD10012,2007-10-04,S004,566.1,0.065,36.8,
ORD10013,2007-10-04,S002,1554.0,0.07,108.78,
ORD10014,2007-10-04,S003,661.5,0.065,43.0,
ORD10015,2007-10-05,S002,1088.0,0.07,76.16,
ORD10016,2007-10-05,S002,495.0,0.07,34.65,
ORD10017,2007-10-05,S005,1366.2,0.06,81.97,
ORD10018,2007-10-05,S003,394.79,0.065,25.66,
ORD10019,2007-10-08,S004,1315.8,0.065,85.53,
ORD10020,2007-10-08,S005,1092.0,0.06,65.52,
ORD10021,2007-10-08,S002,646.0,0.07,45.22,
ORD10022,2007-10-09,S003,1417.5,0.065,92.14,
ORD10023,2007-10-09,S002,672.0,0.07,47.04,
ORD10024,2007-10-09,S003,428.4,0.065,27.85,
ORD10025,2007-10-09,S005,1463.0,0.06,87.78,
ORD10026,2007-10-10,S003,2131.8,0.065,138.57,
ORD10027,2007-10-10,S005,1195.04,0.06,71.7,
ORD10028,2007-10-10,S003,1184.0,0.065,76.96,
ORD10029,2007-10-11,S001,2001.92,0.07,140.13,
ORD10030,2007-10-11,S005,637.5,0.06,38.25,
ORD10031,2007-10-12,S002,489.44,0.07,34.26,
ORD10032,2007-10-12,S005,387.6,0.06,23.26,
ORD10033,2007-10-12,S002,1191.4,0.07,83.4,
ORD10034,2007-10-12,S003,1062.5,0.065,69.06,
ORD10035,2007-10-12,S004,180.32,0.065,11.72,
ORD10036,2007-10-15,S004,329.4,0.065,21.41,
ORD10037,2007-10-15,S005,1147.5,0.06,68.85,
ORD10038,2007-10-16,S005,945.0,0.06,56.7,
ORD10039,2007-10-16,S005,567.0,0.06,34.02,
ORD10040,2007-10-17,S002,896.0,0.07,62.72,
ORD10041,2007-10-18,S004,504.0,0.065,32.76,
ORD10042,2007-10-18,S001,544.0,0.07,38.08,
ORD10043,2007-10-19,S002,2366.8,0.07,165.68,
ORD10044,2007-10-19,S003,330.0,0.065,21.45,
ORD10045,2007-10-19,S004,2584.0,0.065,167.96,
ORD10046,2007-10-19,S003,986.0,0.065,64.09,
ORD10047,2007-10-19,S003,825.0,0.065,53.62,
ORD10048,2007-10-22,S003,378.0,0.065,24.57,
ORD10049,2007-10-22,S005,340.0,0.06,20.4,
ORD10050,2007-10-22,S005,535.5,0.06,32.13,
ORD10051,2007-10-22,S003,89.77,0.065,5.84,
ORD10052,2007-10-22,S005,992.25,0.06,59.53,
ORD10053,2007-10-23,S004,1485.0,0.065,96.53,
ORD10054,2007-10-23,S001,680.0,0.07,47.6,
ORD10055,2007-10-23,S004,1219.92,0.065,79.29,
ORD10056,2007-10-23,S001,1406.0,0.07,98.42,
ORD10057,2007-10-23,S004,1751.68,0.065,113.86,
ORD10058,2007-10-24,S003,1370.85,0.065,89.11,
ORD10059,2007-10-24,S001,175.75,0.07,12.3,
ORD10060,2007-10-24,S001,441.0,0.07,30.87,
ORD10061,2007-10-24,S003,1045.0,0.065,67.92,
ORD10062,2007-10-24,S005,296.0,0.06,17.76,
ORD10063,2007-10-25,S005,297.0,0.06,17.82,
ORD10064,2007-10-26,S001,161.5,0.07,11.31,
ORD10065,2007-10-26,S002,598.5,0.07,41.9,
ORD10066,2007-10-26,S002,427.77,0.07,29.94,
ORD10067,2007-10-29,S004,669.76,0.065,43.53,
ORD10068,2007-10-30,S002,1403.0,0.07,98.21,
ORD10069,2007-10-30,S004,2200.0,0.065,143.0,
ORD10070,2007-10-30,S004,1650.0,0.065,107.25,
ORD10071,2007-10-30,S004,179.45,0.065,11.66,
ORD10072,2007-10-31,S004,1065.06,0.065,69.23,
ORD10073,2007-10-31,S005,252.0,0.06,15.12,
ORD10075,2007-11-01,S004,721.28,0.065,46.88,
ORD10076,2007-11-01,S004,1090.12,0.065,70.86,
ORD10077,2007-11-01,S003,563.04,0.065,36.6,
ORD10078,2007-11-01,S004,1285.2,0.065,83.54,
ORD10079,2007-11-02,S005,378.0,0.06,22.68,
ORD10080,2007-11-02,S002,531.76,0.07,37.22,
ORD10081,2007-11-02,S004,1471.49,0.065,95.65,
ORD10082,2007-11-02,S001,1398.6,0.07,97.9,
ORD10083,2007-11-05,S002,463.6,0.07,32.45,
ORD10086,2007-11-06,S003,714.84,0.065,46.46,
ORD10087,2007-11-07,S003,437.92,0.065,28.46,
ORD10088,2007-11-07,S004,1813.9,0.065,117.9,
ORD10089,2007-11-07,S005,986.0,0.06,59.16,
ORD10090,2007-11-07,S004,1097.25,0.065,71.32,
ORD10091,2007-11-07,S004,1972.0,0.065,128.18,
ORD10092,2007-11-08,S001,170.1,0.07,11.91,
ORD10093,2007-11-08,S005,1242.57,0.06,74.55,
ORD10094,2007-11-08,S003,1253.24,0.065,81.46,
ORD10095,2007-11-09,S005,527.68,0.06,31.66,
ORD10096,2007-11-09,S005,2135.0,0.06,128.1,
