delivery_id,order_id,delivery_date,delivered_quantity,delivery_status,driver,proof_of_delivery
DEL50001,ORD10001,2007-10-03,41,Delivered,Hidetoshi,No signature
DEL50002,ORD10002,2007-10-07,44,Delivered,Madge,signed
DEL50003,ORD10003,2007-10-03,12,Delivered,Glenn,signed
DEL50004,ORD10005,2007-10-06,4,Delivered,Glenn,SIGND
DEL50005,ORD10006,2007-10-07,31,Delivered,Hidetoshi,No signature
DEL50006,ORD10007,2007-10-10,7,Delivered,Madge,Signed
DEL50007,ORD10008,2007-10-04,38,Delivered,Hidetoshi,SIGND
DEL50008,ORD10009,2007-10-10,35,Delivered,Hidetoshi,SIGND
DEL50009,ORD10010,2007-10-10,21,Delivered,Madge,Signed
DEL50010,ORD10012,2007-10-06,17,Delivered,Madge,signed
DEL50011,ORD10013,2007-10-10,42,Delivered,Madge,signed
DEL50012,ORD10014,2007-10-10,21,Delivered,Madge,SIGND
DEL50013,ORD10015,2007-10-06,32,Delivered,Madge,signed
DEL50014,ORD10016,2007-10-11,9,Partial,Madge,No signature
DEL50015,ORD10017,2007-10-06,27,Delivered,Madge,signed
DEL50016,ORD10018,2007-10-12,13,Delivered,Hidetoshi,SIGND
DEL50017,ORD10019,2007-10-11,43,Delivered,Hidetoshi,signed
DEL50018,ORD10020,2007-10-12,39,Delivered,Glenn,No signature
DEL50019,ORD10021,2007-10-12,20,Delivered,Glenn,Signed
DEL50020,ORD10022,2007-10-13,45,Delivered,Hidetoshi,Signed
DEL50021,ORD10023,2007-10-15,24,Delivered,Hidetoshi,SIGND
DEL50022,ORD10024,2007-10-12,7,Delivered,Glenn,SIGND
DEL50023,ORD10026,2007-10-12,33,Delivered,Glenn,Signed
DEL50024,ORD10027,2007-10-17,44,Delivered,Glenn,Signed
DEL50025,ORD10028,2007-10-14,32,Delivered,Hidetoshi,No signature
DEL50026,ORD10029,2007-10-16,32,Delivered,Hidetoshi,No signature
DEL50027,ORD10030,2007-10-13,15,Delivered,Madge,No signature
DEL50028,ORD10031,2007-10-17,19,Delivered,Madge,Signed
DEL50029,ORD10032,2007-10-16,12,Delivered,Glenn,signed
DEL50030,ORD10033,2007-10-19,35,Delivered,Glenn,No signature
DEL50031,ORD10034,2007-10-15,25,Delivered,Hidetoshi,SIGND
DEL50032,ORD10035,2007-10-16,7,Delivered,Hidetoshi,Signed
DEL50033,ORD10036,2007-10-16,6,Delivered,Hidetoshi,signed
DEL50034,ORD10037,2007-10-20,27,Delivered,Hidetoshi,No signature
DEL50035,ORD10038,2007-10-21,30,Delivered,Hidetoshi,No signature
DEL50036,ORD10040,2007-10-18,32,Delivered,Glenn,signed
DEL50037,ORD10041,2007-10-22,18,Delivered,Hidetoshi,signed
DEL50038,ORD10042,2007-10-19,8,Delivered,Glenn,Signed
DEL50039,ORD10043,2007-10-20,40,Delivered,Hidetoshi,Signed
DEL50040,ORD10044,2007-10-24,6,Delivered,Glenn,No signature
DEL50041,ORD10045,2007-10-24,40,Delivered,Hidetoshi,No signature
DEL50042,ORD10046,2007-10-26,29,Delivered,Hidetoshi,Signed
DEL50043,ORD10047,2007-10-21,13,Partial,Glenn,SIGND
DEL50044,ORD10048,2007-10-24,12,Delivered,Madge,Signed
DEL50045,ORD10049,2007-10-27,5,Delivered,Hidetoshi,Signed
