month,sales_rep_id,revenue_target
2007-10,S001,32000
2007-10,S002,30000
2007-10,S003,22000
2007-10,S004,24000
2007-10,S005,11000
2007-11,S001,35840.0
2007-11,S002,33600.0
2007-11,S003,24640.0
2007-11,S004,26880.0
2007-11,S005,12320.0
2007-12,S001,35840.0
2007-12,S002,33600.0
2007-12,S003,24640.0
2007-12,S004,26880.0
2007-12,S005,12320.0
2008-01,S001,32000
2008-01,S002,30000
2008-01,S003,22000
2008-01,S004,24000
2008-01,S005,11000
2008-02,S001,32000
2008-02,S002,30000
2008-02,S003,22000
2008-02,S004,24000
2008-02,S005,11000
2008-03,S001,32000
2008-03,S002,30000
2008-03,S003,22000
2008-03,S004,24000
2008-03,S005,11000
2008-04,S001,32000
2008-04,S002,30000
2008-04,S003,22000
2008-04,S004,24000
2008-04,S005,11000
2008-05,S001,24000.0
2008-05,S002,22500.0
2008-05,S003,16500.0
2008-05,S004,18000.0
2008-05,S005,8250.0
