dmi_record_id,original_order_id,record_date,customer_id,recorded_revenue,entry_method,record_status,source_system
DMI-WEB10513,WEB10513,2007-10-19,C023,935.0,Online Checkout,Completed,DMI
DMI-WEB10514,WEB10514,2007-10-20,C029,165.0,Online Checkout,Completed,DMI
DMI-WEB10515,WEB10515,2007-10-21,C022,340.0,Online Checkout,Completed,DMI
DMI-WEB10516,WEB10516,2007-10-21,C003,740.0,Online Checkout,Cancelled,DMI
DMI-WEB10517,WEB10517,2007-10-24,C031,592.0,Online Checkout,Completed,DMI
DMI-WEB10518,WEB10518,2007-10-25,C007,452.2,Online Checkout,Completed,DMI
DMI-WEB10519,WEB10519,2007-10-26,C019,599.76,Online Checkout,Completed,DMI
DMI-WEB10520,WEB10520,2007-10-26,C030,816.0,Online Checkout,Completed,DMI
DMI-WEB10521,WEB10521,2007-10-27,C004,185.22,Online Checkout,Completed,DMI
DMI-WEB10522,WEB10522,2007-10-27,C020,548.8,Online Checkout,Completed,DMI
DMI-WEB10523,WEB10523,2007-10-27,C030,560.0,Online Checkout,Completed,DMI
DMI-WEB10524,WEB10524,2007-10-29,C012,499.8,Online Checkout,Cancelled,DMI
DMI-WEB10525,WEB10525,2007-10-29,C012,467.5,Online Checkout,Completed,DMI
DMI-WEB10526,WEB10526,2007-10-29,C006,703.0,Online Checkout,Completed,DMI
DMI-WEB10527,WEB10527,2007-11-06,C012,715.0,Online Checkout,Completed,DMI
DMI-WEB10528,WEB10528,2007-11-06,C020,346.5,Online Checkout,Cancelled,DMI
DMI-WEB10529,WEB10529,2007-11-06,C012,549.0,Online Checkout,Returned,DMI
DMI-WEB10530,WEB10530,2007-11-08,C016,866.32,Online Checkout,Completed,DMI
DMI-WEB10531,WEB10531,2007-11-09,C015,688.94,Online Checkout,Completed,DMI
DMI-WEB10532,WEB10532,2007-11-10,C020,1375.0,Online Checkout,Completed,DMI
DMI-WEB10533,WEB10533,2007-11-10,C014,409.5,Online Checkout,Completed,DMI
DMI-WEB10534,WEB10534,2007-11-10,C001,70.3,Online Checkout,Cancelled,DMI
DMI-WEB10535,WEB10535,2007-11-11,C021,916.3,Online Checkout,Completed,DMI
DMI-WEB10536,WEB10536,2007-11-11,C021,319.2,Online Checkout,Completed,DMI
DMI-WEB10537,WEB10537,2007-11-11,C026,1292.0,Online Checkout,Completed,DMI
DMI-WEB10538,WEB10538,2007-11-12,C025,1281.0,Online Checkout,Completed,DMI
DMI-WEB10539,WEB10539,2007-11-12,C013,346.5,Online Checkout,Completed,DMI
DMI-WEB10540,WEB10540,2007-11-12,C018,186.2,Online Checkout,Completed,DMI
DMI-WEB10541,WEB10541,2007-11-13,C014,703.0,Online Checkout,Completed,DMI
DMI-WEB10542,WEB10542,2007-11-15,C006,850.0,Online Checkout,Completed,DMI
DMI-WEB10543,WEB10543,2007-11-15,C004,726.75,Online Checkout,Completed,DMI
DMI-WEB10544,WEB10544,2007-11-15,C011,1224.0,Online Checkout,Completed,DMI
DMI-WEB10545,WEB10545,2007-11-16,C009,440.0,Online Checkout,Completed,DMI
DMI-WEB10546,WEB10546,2007-11-17,C025,358.68,Online Checkout,Completed,DMI
DMI-WEB10547,WEB10547,2007-11-18,C021,157.5,Online Checkout,Completed,DMI
DMI-WEB10548,WEB10548,2007-11-18,C023,657.58,Online Checkout,Completed,DMI
DMI-WEB10549,WEB10549,2007-11-19,C013,252.0,Online Checkout,Completed,DMI
DMI-WEB10550,WEB10550,2007-11-19,C024,672.0,Online Checkout,Completed,DMI
DMI-WEB10551,WEB10551,2007-11-19,C018,714.0,Online Checkout,Completed,DMI
DMI-WEB10552,WEB10552,2007-11-23,C015,439.04,Online Checkout,Completed,DMI
DMI-WEB10553,WEB10553,2007-11-24,C022,581.4,Online Checkout,Returned,DMI
DMI-WEB10554,WEB10554,2007-11-25,C023,220.0,Online Checkout,Completed,DMI
DMI-WEB10555,WEB10555,2007-11-25,C015,275.0,Online Checkout,Completed,DMI
DMI-WEB10556,WEB10556,2007-11-25,C025,1632.0,Online Checkout,Completed,DMI
DMI-WEB10557,WEB10557,2007-11-28,C007,1403.0,Online Checkout,Completed,DMI
DMI-WEB10558,WEB10558,2007-11-29,C019,398.86,Online Checkout,Completed,DMI
DMI-WEB10559,WEB10559,2007-11-30,C030,419.9,Online Checkout,Completed,DMI
DMI-WEB10560,WEB10560,2007-11-30,C002,456.95,Online Checkout,Completed,DMI
DMI-WEB10561,WEB10561,2007-12-01,C016,603.68,Online Checkout,Cancelled,DMI
DMI-WEB10562,WEB10562,2007-12-01,C021,733.04,Online Checkout,Completed,DMI
DMI-WEB10563,WEB10563,2007-12-02,C011,1216.95,Online Checkout,Completed,DMI
DMI-WEB10564,WEB10564,2007-12-03,C025,220.5,Online Checkout,Completed,DMI
DMI-WEB10565,WEB10565,2007-12-03,C002,252.0,Online Checkout,Completed,DMI
DMI-WEB10566,WEB10566,2007-12-05,C005,472.5,Online Checkout,Completed,DMI
DMI-WEB10567,WEB10567,2007-12-05,C009,238.0,Online Checkout,Completed,DMI
DMI-WEB10568,WEB10568,2007-12-06,C013,385.0,Online Checkout,Completed,DMI
DMI-WEB10569,WEB10569,2007-12-10,C011,510.0,Online Checkout,Completed,DMI
DMI-WEB10570,WEB10570,2007-12-10,C017,283.5,Online Checkout,Cancelled,DMI
DMI-WEB10571,WEB10571,2007-12-10,C026,420.0,Online Checkout,Completed,DMI
DMI-WEB10572,WEB10572,2007-12-13,C022,807.5,Online Checkout,Completed,DMI
DMI-WEB10573,WEB10573,2007-12-13,C007,123.48,Online Checkout,Completed,DMI
DMI-WEB10574,WEB10574,2007-12-15,C031,336.0,Online Checkout,Completed,DMI
DMI-WEB10575,WEB10575,2007-12-15,C028,510.0,Online Checkout,Completed,DMI
DMI-WEB10576,WEB10576,2007-12-15,C013,84.0,Online Checkout,Completed,DMI
DMI-WEB10577,WEB10577,2007-12-16,C006,631.12,Online Checkout,Completed,DMI
DMI-WEB10578,WEB10578,2007-12-16,C003,409.5,Online Checkout,Completed,DMI
DMI-WEB10579,WEB10579,2007-12-16,C013,850.0,Online Checkout,Cancelled,DMI
DMI-WEB10580,WEB10580,2007-12-17,C028,1265.0,Online Checkout,Completed,DMI
DMI-WEB10581,WEB10581,2007-12-17,C018,742.9,Online Checkout,Completed,DMI
DMI-WEB10582,WEB10582,2007-12-17,C006,1464.0,Online Checkout,Completed,DMI
DMI-WEB10583,WEB10583,2007-12-18,C017,92.61,Online Checkout,Completed,DMI
DMI-WEB10584,WEB10584,2007-12-18,C001,1132.88,Online Checkout,Completed,DMI
DMI-WEB10585,WEB10585,2007-12-18,C009,552.5,Online Checkout,Completed,DMI
DMI-WEB10586,WEB10586,2007-12-20,C018,555.66,Online Checkout,Completed,DMI
DMI-WEB10587,WEB10587,2007-12-20,C023,866.32,Online Checkout,Completed,DMI
DMI-WEB10588,WEB10588,2007-12-21,C011,478.8,Online Checkout,Completed,DMI
DMI-WEB10589,WEB10589,2007-12-21,C010,308.0,Online Checkout,Returned,DMI
DMI-WEB10590,WEB10590,2007-12-24,C027,133.0,Online Checkout,Completed,DMI
DMI-WEB10591,WEB10591,2007-12-25,C028,425.6,Online Checkout,Completed,DMI
DMI-WEB10592,WEB10592,2007-12-27,C002,305.0,Online Checkout,Returned,DMI
DMI-WEB10593,WEB10593,2007-12-28,C001,808.45,Online Checkout,Completed,DMI
DMI-WEB10594,WEB10594,2007-12-28,C027,374.0,Online Checkout,Completed,DMI
DMI-WEB10595,WEB10595,2007-12-28,C016,370.0,Online Checkout,Completed,DMI
DMI-WEB10596,WEB10596,2007-12-29,C022,532.0,Online Checkout,Completed,DMI
DMI-WEB10597,WEB10597,2007-12-30,C005,598.5,Online Checkout,Cancelled,DMI
DMI-WEB10598,WEB10598,2007-12-30,C004,592.9,Online Checkout,Completed,DMI
DMI-WEB10599,WEB10599,2007-12-30,C010,220.5,Online Checkout,Completed,DMI
DMI-WEB10600,WEB10600,2008-01-01,C017,646.0,Online Checkout,Completed,DMI
DMI-WEB10601,WEB10601,2008-01-01,C022,726.75,Online Checkout,Completed,DMI
DMI-WEB10602,WEB10602,2008-01-01,C016,156.75,Online Checkout,Completed,DMI
DMI-WEB10603,WEB10603,2008-01-02,C020,568.57,Online Checkout,Returned,DMI
DMI-WEB10604,WEB10604,2008-01-02,C014,504.0,Online Checkout,Completed,DMI
DMI-WEB10605,WEB10605,2008-01-02,C022,775.2,Online Checkout,Completed,DMI
DMI-WEB10606,WEB10606,2008-01-03,C012,41.65,Online Checkout,Completed,DMI
DMI-WEB10607,WEB10607,2008-01-06,C002,504.0,Online Checkout,Completed,DMI
DMI-WEB10608,WEB10608,2008-01-06,C010,518.0,Online Checkout,Completed,DMI
DMI-WEB10609,WEB10609,2008-01-06,C023,1532.72,Online Checkout,Cancelled,DMI
DMI-WEB10610,WEB10610,2008-01-07,C025,599.76,Online Checkout,Completed,DMI
DMI-WEB10611,WEB10611,2008-01-07,C011,538.02,Online Checkout,Cancelled,DMI
DMI-WEB10612,WEB10612,2008-01-07,C003,797.72,Online Checkout,Completed,DMI
DMI-WEB10613,WEB10613,2008-01-08,C012,306.0,Online Checkout,Completed,DMI
DMI-WEB10614,WEB10614,2008-01-09,C001,420.0,Online Checkout,Completed,DMI
DMI-WEB10615,WEB10615,2008-01-10,C001,1162.8,Online Checkout,Completed,DMI
DMI-WEB10616,WEB10616,2008-01-10,C012,661.5,Online Checkout,Completed,DMI
DMI-WEB10617,WEB10617,2008-01-11,C030,585.2,Online Checkout,Cancelled,DMI
DMI-WEB10618,WEB10618,2008-01-11,C001,807.5,Online Checkout,Completed,DMI
DMI-WEB10619,WEB10619,2008-01-14,C005,748.0,Online Checkout,Completed,DMI
DMI-WEB10620,WEB10620,2008-01-17,C023,56.0,Online Checkout,Completed,DMI
DMI-WEB10621,WEB10621,2008-01-17,C006,315.0,Online Checkout,Returned,DMI
DMI-WEB10622,WEB10622,2008-01-18,C009,378.0,Online Checkout,Completed,DMI
DMI-WEB10623,WEB10623,2008-01-18,C018,124.95,Online Checkout,Completed,DMI
DMI-WEB10624,WEB10624,2008-01-19,C017,272.0,Online Checkout,Completed,DMI
DMI-WEB10625,WEB10625,2008-01-19,C008,843.6,Online Checkout,Completed,DMI
DMI-WEB10626,WEB10626,2008-01-19,C027,239.4,Online Checkout,Completed,DMI
DMI-WEB10627,WEB10627,2008-01-20,C003,472.5,Online Checkout,Completed,DMI
DMI-WEB10628,WEB10628,2008-01-20,C022,140.0,Online Checkout,Completed,DMI
DMI-WEB10629,WEB10629,2008-01-20,C010,185.0,Online Checkout,Cancelled,DMI
DMI-WEB10630,WEB10630,2008-01-21,C007,470.25,Online Checkout,Completed,DMI
DMI-WEB10631,WEB10631,2008-01-21,C001,610.0,Online Checkout,Completed,DMI
DMI-WEB10632,WEB10632,2008-01-21,C012,84.0,Online Checkout,Completed,DMI
DMI-WEB10633,WEB10633,2008-01-22,C003,212.8,Online Checkout,Completed,DMI
DMI-WEB10634,WEB10634,2008-01-23,C022,386.65,Online Checkout,Completed,DMI
DMI-WEB10635,WEB10635,2008-01-24,C029,333.0,Online Checkout,Completed,DMI
DMI-WEB10636,WEB10636,2008-01-24,C018,586.53,Online Checkout,Cancelled,DMI
DMI-WEB10637,WEB10637,2008-01-24,C025,797.72,Online Checkout,Returned,DMI
DMI-WEB10638,WEB10638,2008-01-25,C021,527.25,Online Checkout,Completed,DMI
DMI-WEB10639,WEB10639,2008-01-27,C007,644.0,Online Checkout,Completed,DMI
DMI-WEB10640,WEB10640,2008-01-27,C008,296.0,Online Checkout,Completed,DMI
DMI-WEB10641,WEB10641,2008-01-29,C031,807.5,Online Checkout,Completed,DMI
DMI-WEB10642,WEB10642,2008-01-29,C003,1220.0,Online Checkout,Completed,DMI
DMI-WEB10643,WEB10643,2008-01-29,C002,246.05,Online Checkout,Completed,DMI
DMI-WEB10644,WEB10644,2008-01-30,C003,686.38,Online Checkout,Completed,DMI
DMI-WEB10645,WEB10645,2008-01-30,C005,661.5,Online Checkout,Completed,DMI
DMI-WEB10646,WEB10646,2008-01-30,C004,258.4,Online Checkout,Returned,DMI
DMI-WEB10647,WEB10647,2008-01-31,C006,952.0,Online Checkout,Completed,DMI
DMI-WEB10648,WEB10648,2008-02-01,C013,456.95,Online Checkout,Completed,DMI
DMI-WEB10649,WEB10649,2008-02-01,C006,290.7,Online Checkout,Completed,DMI
DMI-WEB10650,WEB10650,2008-02-02,C010,347.7,Online Checkout,Completed,DMI
DMI-WEB10651,WEB10651,2008-02-02,C019,1101.05,Online Checkout,Completed,DMI
DMI-WEB10652,WEB10652,2008-02-02,C016,1224.0,Online Checkout,Completed,DMI
DMI-WEB10653,WEB10653,2008-02-04,C018,585.2,Online Checkout,Completed,DMI
DMI-WEB10654,WEB10654,2008-02-05,C013,627.0,Online Checkout,Completed,DMI
