order_id,order_date,customer_id,sales_rep_id,channel,product_id,quantity,unit_price,discount_pct,order_revenue,order_status,source_system
ORD10001,2007-10-01,C017,S004,Field,P006,41,31.5,0,1291.5,Completed,Legacy_Sales
ORD10002,2007-10-01,C026,S002,Email,P003,44,61.0,0.03,2603.48,Completed,Legacy_Sales
ORD10003,2007-10-02,C020,S001,Phone,P007,12,37.0,0.05,421.8,Completed,Legacy_Sales
ORD10004,2007-10-02,C014,S004,Field,P003,25,61.0,0.08,1403.0,Returned,Legacy_Sales
ORD10005,2007-10-02,C007,S005,Phone,P006,4,31.5,0,126.0,Completed,Legacy_Sales
ORD10006,2007-10-02,C015,S003,Phone,P005,31,28.0,0,868.0,Completed,Legacy_Sales
ORD10007,2007-10-03,C027,S002,Phone,P002,7,55.0,0,385.0,Completed,Legacy_Sales
ORD10008,2007-10-03,C001,S003,Field,P005,38,28.0,0.03,1032.08,Completed,Legacy_Sales
ORD10009,2007-10-03,C011,S005,Phone,P001,35,42.5,0.03,1442.88,Completed,Legacy_Sales
ORD10010,2007-10-03,C025,S002,Phone,P004,21,68.0,0,1428.0,Completed,Legacy_Sales
ORD10011,2007-10-03,C009,S002,Field,P007,3,37.0,0,111.0,Completed,Legacy_Sales
ORD10012,2007-10-04,C008,S004,Email,P007,17,37.0,0.1,566.1,Completed,Legacy_Sales
ORD10013,2007-10-04,C024,S002,Email,P007,42,37.0,0,1554.0,Completed,Legacy_Sales
ORD10014,2007-10-04,C015,S003,Field,P006,21,31.5,0,661.5,Completed,Legacy_Sales
ORD10015,2007-10-05,C011,S002,Phone,P008,32,34.0,0,1088.0,Completed,Legacy_Sales
ORD10016,2007-10-05,C008,S002,Phone,P002,10,55.0,0.1,495.0,Completed,Legacy_Sales
ORD10017,2007-10-05,C011,S005,Phone,P002,27,55.0,0.08,1366.2,Completed,Legacy_Sales
ORD10018,2007-10-05,C008,S003,Phone,P007,11,37.0,0.03,394.79,Completed,Legacy_Sales
ORD10019,2007-10-08,C020,S004,Email,P008,43,34.0,0.1,1315.8,Completed,Legacy_Sales
ORD10020,2007-10-08,C016,S005,Phone,P005,39,28.0,0,1092.0,Completed,Legacy_Sales
ORD10021,2007-10-08,C028,S002,Phone,P008,20,34.0,0.05,646.0,Completed,Legacy_Sales
ORD10022,2007-10-09,C022,S003,Phone,P006,45,31.5,0,1417.5,Completed,Legacy_Sales
ORD10023,2007-10-09,C019,S002,Phone,P005,24,28.0,0,672.0,Completed,Legacy_Sales
ORD10024,2007-10-09,C001,S003,Email,P004,7,68.0,0.1,428.4,Completed,Legacy_Sales
ORD10025,2007-10-09,C017,S005,Phone,P002,28,55.0,0.05,1463.0,Completed,Legacy_Sales
ORD10026,2007-10-10,C017,S003,Email,P004,33,68.0,0.05,2131.8,Completed,Legacy_Sales
ORD10027,2007-10-10,C029,S005,Field,P005,44,28.0,0.03,1195.04,Completed,Legacy_Sales
ORD10028,2007-10-10,C004,S003,Phone,P007,32,37.0,0,1184.0,Completed,Legacy_Sales
ORD10029,2007-10-11,C030,S001,Field,P004,32,68.0,0.08,2001.92,Completed,Legacy_Sales
ORD10030,2007-10-11,C003,S005,Phone,P001,15,42.5,0,637.5,Completed,Legacy_Sales
ORD10031,2007-10-12,C014,S002,Phone,P005,19,28.0,0.08,489.44,Completed,Legacy_Sales
ORD10032,2007-10-12,C006,S005,Email,P008,12,34.0,0.05,387.6,Completed,Legacy_Sales
ORD10033,2007-10-12,C015,S002,Phone,P007,35,37.0,0.08,1191.4,Completed,Legacy_Sales
ORD10034,2007-10-12,C022,S003,Email,P001,25,42.5,0,1062.5,Completed,Legacy_Sales
ORD10035,2007-10-12,C006,S004,Email,P005,7,28.0,0.08,180.32,Completed,Legacy_Sales
ORD10036,2007-10-15,C021,S004,Field,P003,6,61.0,0.1,329.4,Completed,Legacy_Sales
ORD10037,2007-10-15,C010,S005,Phone,P001,27,42.5,0,1147.5,Completed,Legacy_Sales
ORD10038,2007-10-16,C023,S005,Phone,P006,30,31.5,0,945.0,Completed,Legacy_Sales
ORD10039,2007-10-16,C024,S005,Phone,P006,18,31.5,0,567.0,Completed,Legacy_Sales
ORD10040,2007-10-17,C029,S002,Phone,P005,32,28.0,0,896.0,Completed,Legacy_Sales
ORD10041,2007-10-18,C028,S004,Email,P005,18,28.0,0,504.0,Completed,Legacy_Sales
ORD10042,2007-10-18,C010,S001,Phone,P004,8,68.0,0,544.0,Completed,Legacy_Sales
ORD10043,2007-10-19,C028,S002,Phone,P003,40,61.0,0.03,2366.8,Completed,Legacy_Sales
ORD10044,2007-10-19,C026,S003,Phone,P002,6,55.0,0,330.0,Completed,Legacy_Sales
ORD10045,2007-10-19,C029,S004,Phone,P004,40,68.0,0.05,2584.0,Completed,Legacy_Sales
ORD10046,2007-10-19,C015,S003,Phone,P008,29,34.0,0,986.0,Completed,Legacy_Sales
ORD10047,2007-10-19,C005,S003,Phone,P002,15,55.0,0,825.0,Completed,Legacy_Sales
ORD10048,2007-10-22,C014,S003,Field,P006,12,31.5,0,378.0,Completed,Legacy_Sales
ORD10049,2007-10-22,C007,S005,Phone,P004,5,68.0,0,340.0,Completed,Legacy_Sales
ORD10050,2007-10-22,C005,S005,Phone,P001,14,42.5,0.1,535.5,Completed,Legacy_Sales
ORD10051,2007-10-22,C008,S003,Phone,P006,3,31.5,0.05,89.77,Completed,Legacy_Sales
ORD10052,2007-10-22,C010,S005,Email,P006,35,31.5,0.1,992.25,Completed,Legacy_Sales
ORD10053,2007-10-23,C013,S004,Field,P002,27,55.0,0,1485.0,Completed,Legacy_Sales
ORD10054,2007-10-23,C024,S001,Phone,P004,10,68.0,0,680.0,Completed,Legacy_Sales
ORD10055,2007-10-23,C021,S004,Field,P008,39,34.0,0.08,1219.92,Completed,Legacy_Sales
ORD10056,2007-10-23,C021,S001,Email,P007,38,37.0,0,1406.0,Completed,Legacy_Sales
ORD10057,2007-10-23,C001,S004,Phone,P004,28,68.0,0.08,1751.68,Completed,Legacy_Sales
ORD10058,2007-10-24,C014,S003,Phone,P007,39,37.0,0.05,1370.85,Completed,Legacy_Sales
ORD10059,2007-10-24,C019,S001,Phone,P007,5,37.0,0.05,175.75,Completed,Legacy_Sales
ORD10060,2007-10-24,C012,S001,Phone,P006,14,31.5,0,441.0,Completed,Legacy_Sales
ORD10061,2007-10-24,C003,S003,Phone,P002,19,55.0,0,1045.0,Completed,Legacy_Sales
ORD10062,2007-10-24,C011,S005,Phone,P007,8,37.0,0,296.0,Completed,Legacy_Sales
ORD10063,2007-10-25,C014,S005,Phone,P002,6,55.0,0.1,297.0,Completed,Legacy_Sales
ORD10064,2007-10-26,C021,S001,Phone,P001,4,42.5,0.05,161.5,Completed,Legacy_Sales
ORD10065,2007-10-26,C013,S002,Phone,P006,19,31.5,0,598.5,Completed,Legacy_Sales
ORD10066,2007-10-26,C025,S002,Phone,P006,14,31.5,0.03,427.77,Completed,Legacy_Sales
ORD10067,2007-10-29,C005,S004,Field,P005,26,28.0,0.08,669.76,Completed,Legacy_Sales
ORD10068,2007-10-30,C030,S002,Email,P003,23,61.0,0,1403.0,Completed,Legacy_Sales
ORD10069,2007-10-30,C005,S004,Field,P002,40,55.0,0,2200.0,Completed,Legacy_Sales
ORD10070,2007-10-30,C026,S004,Field,P002,30,55.0,0,1650.0,Completed,Legacy_Sales
ORD10071,2007-10-30,C002,S004,Email,P007,5,37.0,0.03,179.45,Completed,Legacy_Sales
ORD10072,2007-10-31,C027,S004,Email,P003,18,61.0,0.03,1065.06,Completed,Legacy_Sales
ORD10073,2007-10-31,C015,S005,Email,P006,8,31.5,0,252.0,Completed,Legacy_Sales
ORD10074,2007-10-31,C025,S003,Phone,P005,18,28.0,0,504.0,Cancelled,Legacy_Sales
ORD10075,2007-11-01,C005,S004,Phone,P005,28,28.0,0.08,721.28,Completed,Legacy_Sales
ORD10076,2007-11-01,C030,S004,Phone,P001,27,42.5,0.05,1090.12,Completed,Legacy_Sales
ORD10077,2007-11-01,C023,S003,Field,P004,9,68.0,0.08,563.04,Completed,Legacy_Sales
ORD10078,2007-11-01,C008,S004,Email,P008,42,34.0,0.1,1285.2,Completed,Legacy_Sales
ORD10079,2007-11-02,C016,S005,Phone,P006,12,31.5,0,378.0,Completed,Legacy_Sales
ORD10080,2007-11-02,C003,S002,Field,P008,17,34.0,0.08,531.76,Completed,Legacy_Sales
ORD10081,2007-11-02,C008,S004,Email,P007,41,37.0,0.03,1471.49,Completed,Legacy_Sales
ORD10082,2007-11-02,C026,S001,Email,P007,42,37.0,0.1,1398.6,Completed,Legacy_Sales
ORD10083,2007-11-05,C026,S002,Email,P003,8,61.0,0.05,463.6,Completed,Legacy_Sales
ORD10084,2007-11-06,C008,S001,Field,P005,13,28.0,0.05,345.8,Cancelled,Legacy_Sales
ORD10085,2007-11-06,C001,S003,Phone,P004,4,68.0,0,272.0,Cancelled,Legacy_Sales
ORD10086,2007-11-06,C005,S003,Field,P007,21,37.0,0.08,714.84,Completed,Legacy_Sales
ORD10087,2007-11-07,C028,S003,Email,P008,14,34.0,0.08,437.92,Completed,Legacy_Sales
ORD10088,2007-11-07,C025,S004,Field,P002,34,55.0,0.03,1813.9,Completed,Legacy_Sales
ORD10089,2007-11-07,C008,S005,Phone,P008,29,34.0,0,986.0,Completed,Legacy_Sales
ORD10090,2007-11-07,C013,S004,Phone,P002,21,55.0,0.05,1097.25,Completed,Legacy_Sales
ORD10091,2007-11-07,C011,S004,Email,P004,29,68.0,0,1972.0,Completed,Legacy_Sales
ORD10092,2007-11-08,C019,S001,Phone,P006,6,31.5,0.1,170.1,Completed,Legacy_Sales
ORD10093,2007-11-08,C009,S005,Phone,P003,21,61.0,0.03,1242.57,Completed,Legacy_Sales
ORD10094,2007-11-08,C016,S003,Phone,P004,19,68.0,0.03,1253.24,Completed,Legacy_Sales
ORD10095,2007-11-09,C020,S005,Phone,P004,8,68.0,0.03,527.68,Completed,Legacy_Sales
ORD10096,2007-11-09,C010,S005,Phone,P003,35,61.0,0,2135.0,Completed,Legacy_Sales
ORD10097,2007-11-09,C006,S002,Phone,P003,20,61.0,0,1220.0,Completed,Legacy_Sales
ORD10098,2007-11-09,C027,S003,Email,P008,10,34.0,0.1,306.0,Completed,Legacy_Sales
ORD10099,2007-11-09,C009,S004,Field,P006,41,31.5,0,1291.5,Completed,Legacy_Sales
ORD10100,2007-11-12,C014,S005,Phone,P003,8,61.0,0.08,448.96,Completed,Legacy_Sales
ORD10101,2007-11-12,C018,S005,Field,P005,10,28.0,0,280.0,Completed,Legacy_Sales
ORD10102,2007-11-12,C015,S004,Email,P001,43,42.5,0.03,1772.67,Cancelled,Legacy_Sales
ORD10103,2007-11-12,C013,S004,Phone,P007,12,37.0,0.1,399.6,Completed,Legacy_Sales
ORD10104,2007-11-12,C028,S002,Field,P002,38,55.0,0.03,2027.3,Completed,Legacy_Sales
ORD10105,2007-11-13,C002,S001,Email,P008,43,34.0,0,1462.0,Completed,Legacy_Sales
ORD10106,2007-11-14,C002,S001,Email,P004,7,68.0,0,476.0,Completed,Legacy_Sales
ORD10107,2007-11-14,C016,S005,Phone,P003,35,61.0,0,2135.0,Completed,Legacy_Sales
ORD10108,2007-11-14,C019,S004,Field,P002,20,55.0,0,1100.0,Completed,Legacy_Sales
ORD10109,2007-11-14,C014,S002,Email,P005,14,28.0,0.03,380.24,Completed,Legacy_Sales
ORD10110,2007-11-15,C013,S004,Phone,P003,39,61.0,0.08,2188.68,Completed,Legacy_Sales
ORD10111,2007-11-16,C019,S005,Field,P008,10,34.0,0.05,323.0,Completed,Legacy_Sales
ORD10112,2007-11-16,C014,S005,Phone,P008,33,34.0,0.05,1065.9,Completed,Legacy_Sales
ORD10113,2007-11-19,C003,S002,Email,P006,13,31.5,0,409.5,Completed,Legacy_Sales
ORD10114,2007-11-20,C010,S003,Phone,P003,9,61.0,0.05,521.55,Completed,Legacy_Sales
ORD10115,2007-11-20,C013,S001,Phone,P003,5,61.0,0.08,280.6,Returned,Legacy_Sales
ORD10116,2007-11-20,C011,S004,Phone,P004,29,68.0,0.03,1912.84,Completed,Legacy_Sales
